#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
217.0,Falkland Islands,1512,,,,,,,,411877.0,,8632.0,2351403.0,3671.0,2.0,,0.0,,,378099.0
218.0,Montserrat,915,,4.0,,749.0,,162.0,,183073.0,800.0,12010.0,2402961.0,4998.0,5.0,1250.0,0.0,,,32413.0
219.0,Diamond Princess,712,,13.0,,699.0,,0.0,,,,,,,,,,,,
220.0,Wallis and Futuna,454,,7.0,,438.0,,9.0,,41774.0,644.0,20508.0,1887008.0,10868.0,24.0,1553.0,1.0,,,828.0
221.0,Macao,82,,,,82.0,,0.0,,123.0,,5375.0,8070.0,666037.0,8122.0,,124.0,,,
222.0,Micronesia,30,23.0,,,30.0,29.0,0.0,,256.0,,21109.0,179960.0,117298.0,3910.0,,6.0,196.0,,
223.0,Vatican City,29,,,,29.0,,0.0,,36025.0,,,,805.0,28.0,,,,,
224.0,Marshall Islands,17,,,,14.0,,3.0,,284.0,,,,59944.0,3526.0,,,,,50.0
225.0,Western Sahara,10,,1.0,,9.0,,0.0,,16.0,2.0,,,625043.0,62504.0,625043.0,,,,
226.0,MS Zaandam,9,,2.0,,7.0,,0.0,,,,,,,,,,,,
227.0,Niue,9,,,,9.0,,0.0,,5464.0,,,,1647.0,183.0,,,,,
228.0,Nauru,8,,,,8.0,3.0,0.0,,730.0,,,,10952.0,1369.0,,,,,
229.0,Tuvalu,3,3.0,,,,,3.0,,249.0,,,,12067.0,4022.0,,,249.0,,249.0
230.0,Saint Helena,2,,,,2.0,,0.0,,327.0,,,,6111.0,3056.0,,,,,
,Total:,528073779,458963.0,6301741.0,1033.0,498331191.0,802273.0,23440847.0,37994.0,67746.9,808.5,,,,,,,,,
